PNP 21 - ANO BASE 2020;;;;;;;;
;;Em curso;Em curso;Concluintes;Concluintes;Evadidos;Evadidos;Evadidos
;;Em curso;Em curso;Concluida;Integralizado;Abandono;Cancelada;Desligada
CAMPUS;CURSO;em Fluxo;Retido;Em Fluxo;Em Fluxo;Em Fluxo;Em Fluxo;Em Fluxo
Barreiras;ARQUITETURA E URBANISMO;;;;;;;
Barreiras;ENGENHARIA DE ALIMENTOS;30;18;4;0;1;0;10
Barreiras;LICENCIATURA EM MATEMÁTICA;28;11;9;0;0;0;5
Brumado;ENGENHARIA DE MINAS;65;0;0;0;3;0;4
Brumado;LICENCIATURA EM COMPUTAÇÃO;;;;;;;
Camaçari;LICENCIATURA EM COMPUTAÇÃO;64;0;0;0;1;0;4
Camaçari;LICENCIATURA EM MATEMÁTICA;77;99;3;0;5;1;4
Camaçari;PEDAGOGIA;0;0;13;0;11;;0
Eunápolis;ANÁLISE E DESENVOLVIMENTO DE SISTEMAS;68;61;0;0;22;0;0
Eunápolis;ENGENHARIA CIVIL;117;33;0;32;0;0;0
Eunápolis;LICENCIATURA EM MATEMÁTICA;88;53;1;0;42;0;0
Feira de Santana;SISTEMAS DE INFORMAÇÃO;129;9;0;0;43;0;12
Irecê;ANÁLISE E DESENVOLVIMENTO DE SISTEMAS;87;42;5;0;21;0;3
Irecê;MANUTENÇÃO INDUSTRIAL;69;8;0;0;23;6;0
Irecê;FORMAÇÃO DE PROFESSORES;0;0;2;0;4;0;0
Jacobina;LICENCIATURA COMPUTAÇÃO;94;13;0;0;0;0;5
Jequié;ENGENHARIA MECÂNICA;115;0;0;0;0;0;0
Lauro de Freitas;ENGENHARIA AMBIENTAL;113;0;0;0;0;0;7
Lauro de Freitas;ENGENHARIA DE ENERGIA;;;;;;;
Lauro de Freitas;JOGOS DIGITAIS;125;19;1;0;0;1;1
Paulo Afonso;ENGENHARIA ELÉTRICA;147;79;3;0;2;0;25
Paulo Afonso;LICENCIATURA PARA EDUCAÇÃO TECNOLOGICA;0;0;8;0;0;0;0
Porto Seguro;AGROINDÚSTRIA;82;0;0;0;0;0;1
Porto Seguro;INTERCULTURAL INDÍGENA;41;76;0;0;0;0;0
Porto Seguro;LICENCIATURA EM QUÍMICA;91;40;6;0;0;0;3
Porto Seguro;LICENCIATUTRA EM COMPUTAÇÃO;131;21;2;0;0;0;6
Salvador;ADMINISTRAÇÃO;284;157;0;0;0;0;8
Salvador;ANÁLISE E DESENVOLVIMENTO DE SISTEMAS;182;149;0;0;2;0;8
Salvador;ENGENHARIA PARA AUTOMAÇÃO ;309;119;9;0;1;1;5
Salvador;ENGENHARIA INDUSTRIAL ELÉTRICA;;;;;;;
Salvador;ENGENHARIA INDUSTRIAL MECÂNICA;285;111;17;0;0;0;13
Salvador;ENGENHARIA QUÍMICA;266;102;12;0;1;1;7
Salvador;EVENTOS;81;50;0;0;0;0;5
Salvador;LICENCIATURA EM FÍSICA;218;433;0;0;2;0;6
Salvador;LICENCIATURA EM GEOGRAFIA;242;205;11;0;1;0;6
Salvador;LICENCIATURA EM MATEMÁTICA;231;302;0;0;1;6;9
Salvador;RADIOLOGIA;82;84;11;0;1;0;3
Salvador;LICENCIATURA PARA EDUCAÇÃO TECNOLOGICA;0;70;29;0;0;0;0
Santo Amaro;LICENCIATURA EM COMPUTAÇÃO;169;51;6;0;2;0;3
Santo Antonio de Jesus;ANÁLISE E DESENVOLVIMENTO DE SISTEMAS;107;0;0;0;0;0;3
Santo Antonio de Jesus;PRODUÇÃO MULTIMÍDIA;103;0;0;0;0;0;6
Santo Antonio de Jesus;REDES DE COMPUTADORES;112;0;0;0;0;0;2
Simoes Filho;ENGENHARIA MECÂNICA;117;0;0;0;7;0;3
Simoes Filho;LICENCIATURA EM ELETROMECÂNICA;;;;;;;
Simoes Filho;LICENCIATURA PARA EDUCAÇÃO TECNOLOGICA;38;29;3;3;4;0;1
Valença;ANÁLISE E DESENVOLVIMENTO DE SISTEMAS;76;0;0;0;0;0;0
Valença;LICENCIATURA COMPUTAÇÃO;107;22;0;1;2;1;5
Valença;LICENCIATURA EM MATEMÁTICA;104;33;1;0;1;0;5
Vitória da Conquista;ENGENHARIA AMBIENTAL;146;24;24;0;118;0;0
Vitória da Conquista;ENGENHARIA CIVIL;132;43;12;0;123;7;0
Vitória da Conquista;ENGENHARIA ELÉTRICA;246;90;27;0;158;0;1
Vitória da Conquista;LICENCIATURA EM QUÍMICA;88;42;6;0;61;0;1
Vitória da Conquista;SISTEMAS DE INFORMAÇÃO;151;65;1;0;132;2;0
Vitória da Conquista;FORMAÇÃO DE PROFESSORES;0;0;19;0;14;0;0
Ilhéus;EDUCAÇÃO FÍSICA;310;0;0;0;0;0;0
Ilhéus;LICENCIATURA EM EDUCAÇÃO;0;1;6;0;0;0;0
Seabra;LICENCIATURA EM EDUCAÇÃO;0;0;2;0;0;0;0
