Ano;Semestre;Campus;Unidade Acadêmica;Curso;Modalidade;Formato;Tipo Evasão;Alunos
2019;2;OURO PRETO;CENTRO DE EDUCACAO ABERTA E A DISTANCIA;ADMINISTRACAO PUBLICA-D06;BACHARELADO;DISTANCIA;CANCELAMENTO;1
2019;2;OURO PRETO;CENTRO DE EDUCACAO ABERTA E A DISTANCIA;GEOGRAFIA-D07;LICENCIATURA;DISTANCIA;CANCELAMENTO;1
2019;2;OURO PRETO;CENTRO DE EDUCACAO ABERTA E A DISTANCIA;MATEMATICA-D05;LICENCIATURA;DISTANCIA;CANCELAMENTO;2
2019;2;OURO PRETO;CENTRO DE EDUCACAO ABERTA E A DISTANCIA;PEDAGOGIA-D04;LICENCIATURA;DISTANCIA;CANCELAMENTO;1
2019;2;MARIANA;INSTITUTO DE CIENCIAS SOCIAIS APLICADAS;ADMINISTRACAO-ADM;BACHARELADO;PRESENCIAL;CANCELAMENTO;8
2019;2;OURO PRETO;ESCOLA DE MINAS;ARQUITETURA E URBANISMO-ARQ;BACHARELADO;PRESENCIAL;CANCELAMENTO;1
2019;2;OURO PRETO;"INSTITUTO DE FILOSOFIA, ARTES E CULTURA";ARTES CENICAS-ACB;BACHARELADO;PRESENCIAL;CANCELAMENTO;3
2019;2;OURO PRETO;"INSTITUTO DE FILOSOFIA, ARTES E CULTURA";ARTES CENICAS-ACL;LICENCIATURA;PRESENCIAL;CANCELAMENTO;4
2019;2;OURO PRETO;INSTITUTO DE CIENCIAS EXATAS E BIOLOGICAS;CIENCIA DA COMPUTACAO-COM;BACHARELADO;PRESENCIAL;CANCELAMENTO;11
2019;2;OURO PRETO;ESCOLA DE NUTRICAO;CIENCIA E TECNOLOGIA DE ALIMENTOS-ALI;BACHARELADO;PRESENCIAL;CANCELAMENTO;17
2019;2;OURO PRETO;INSTITUTO DE CIENCIAS EXATAS E BIOLOGICAS;CIENCIAS BIOLOGICAS-CBB;BACHARELADO;PRESENCIAL;CANCELAMENTO;4
2019;2;OURO PRETO;INSTITUTO DE CIENCIAS EXATAS E BIOLOGICAS;CIENCIAS BIOLOGICAS-CBL;LICENCIATURA;PRESENCIAL;CANCELAMENTO;4
2019;2;MARIANA;INSTITUTO DE CIENCIAS SOCIAIS APLICADAS;CIENCIAS ECONOMICAS-ECO;BACHARELADO;PRESENCIAL;CANCELAMENTO;13
2019;2;OURO PRETO;"ESCOLA DE DIREITO, TURISMO E MUSEOLOGIA";DIREITO-DIR;BACHARELADO;PRESENCIAL;CANCELAMENTO;9
2019;2;OURO PRETO;ESCOLA DE EDUCACAO FISICA;EDUCACAO FISICA-EFB;BACHARELADO;PRESENCIAL;CANCELAMENTO;6
2019;2;OURO PRETO;ESCOLA DE MINAS;ENGENHARIA AMBIENTAL-AMB;BACHARELADO;PRESENCIAL;CANCELAMENTO;3
2019;2;OURO PRETO;ESCOLA DE MINAS;ENGENHARIA CIVIL-CIV;BACHARELADO;PRESENCIAL;CANCELAMENTO;7
2019;2;JOÃO MONLEVADE;INSTITUTO DE CIENCIAS EXATAS E APLICADAS;ENGENHARIA DE COMPUTACAO-CJM;BACHARELADO;PRESENCIAL;CANCELAMENTO;11
2019;2;OURO PRETO;ESCOLA DE MINAS;ENGENHARIA DE CONTROLE E AUTOMACAO-AUT;BACHARELADO;PRESENCIAL;CANCELAMENTO;6
2019;2;OURO PRETO;ESCOLA DE MINAS;ENGENHARIA DE MINAS-MIN;BACHARELADO;PRESENCIAL;CANCELAMENTO;7
2019;2;JOÃO MONLEVADE;INSTITUTO DE CIENCIAS EXATAS E APLICADAS;ENGENHARIA DE PRODUCAO-PJM;BACHARELADO;PRESENCIAL;CANCELAMENTO;5
2019;2;OURO PRETO;ESCOLA DE MINAS;ENGENHARIA DE PRODUCAO-PRO;BACHARELADO;PRESENCIAL;CANCELAMENTO;8
2019;2;JOÃO MONLEVADE;INSTITUTO DE CIENCIAS EXATAS E APLICADAS;ENGENHARIA ELETRICA-EJM;BACHARELADO;PRESENCIAL;CANCELAMENTO;9
2019;2;OURO PRETO;ESCOLA DE MINAS;ENGENHARIA GEOLOGICA-GEO;BACHARELADO;PRESENCIAL;CANCELAMENTO;8
2019;2;OURO PRETO;ESCOLA DE MINAS;ENGENHARIA MECANICA-MEC;BACHARELADO;PRESENCIAL;CANCELAMENTO;5
2019;2;OURO PRETO;ESCOLA DE MINAS;ENGENHARIA METALURGICA-MET;BACHARELADO;PRESENCIAL;CANCELAMENTO;30
2019;2;OURO PRETO;ESCOLA DE MINAS;ENGENHARIA URBANA-URB;BACHARELADO;PRESENCIAL;CANCELAMENTO;12
2019;2;OURO PRETO;INSTITUTO DE CIENCIAS EXATAS E BIOLOGICAS;ESTATISTICA-EST;BACHARELADO;PRESENCIAL;CANCELAMENTO;6
2019;2;OURO PRETO;ESCOLA DE FARMACIA;FARMACIA-FAR;BACHARELADO;PRESENCIAL;CANCELAMENTO;13
2019;2;OURO PRETO;"INSTITUTO DE FILOSOFIA, ARTES E CULTURA";FILOSOFIA-FLB;BACHARELADO;PRESENCIAL;CANCELAMENTO;2
2019;2;OURO PRETO;"INSTITUTO DE FILOSOFIA, ARTES E CULTURA";FILOSOFIA-FLL;LICENCIATURA;PRESENCIAL;CANCELAMENTO;3
2019;2;OURO PRETO;INSTITUTO DE CIENCIAS EXATAS E BIOLOGICAS;FISICA-FSB;BACHARELADO;PRESENCIAL;CANCELAMENTO;9
