"ano";"semestre";"campus";"unidade_academica";"curso";"modalidade";"formato";"tipo_evasao";"evadidos"
2000;2;"OURO PRETO";"CENTRO DE EDUCACAO ABERTA E A DISTANCIA";"LICENCIATURA EM EDUCACAO BASICA - ANOS INICIAIS-D01";"LICENCIATURA";"DISTANCIA";"CANCELAMENTO";7
2000;2;"OURO PRETO";"INSTITUTO DE CIENCIAS EXATAS E BIOLOGICAS";"CIENCIAS BIOLOGICAS-CBI";"";"PRESENCIAL";"CANCELAMENTO";1
2001;1;"MARIANA";"INSTITUTO DE CIENCIAS HUMANAS E SOCIAIS";"LETRAS-LET";"";"PRESENCIAL";"NRM";1
2001;1;"OURO PRETO";"CENTRO DE EDUCACAO ABERTA E A DISTANCIA";"LICENCIATURA EM EDUCACAO BASICA - ANOS INICIAIS-D01";"LICENCIATURA";"DISTANCIA";"CANCELAMENTO";1
2001;1;"OURO PRETO";"INSTITUTO DE CIENCIAS EXATAS E BIOLOGICAS";"CIENCIAS BIOLOGICAS-CBI";"";"PRESENCIAL";"NRM";1
2001;2;"OURO PRETO";"CENTRO DE EDUCACAO ABERTA E A DISTANCIA";"LICENCIATURA EM EDUCACAO BASICA - ANOS INICIAIS-D01";"LICENCIATURA";"DISTANCIA";"CANCELAMENTO";9
2001;2;"OURO PRETO";"CENTRO DE EDUCACAO ABERTA E A DISTANCIA";"LICENCIATURA EM EDUCACAO BASICA - ANOS INICIAIS-D01";"LICENCIATURA";"DISTANCIA";"OBITO";1
2002;2;"OURO PRETO";"CENTRO DE EDUCACAO ABERTA E A DISTANCIA";"LICENCIATURA EM EDUCACAO BASICA - ANOS INICIAIS-D01";"LICENCIATURA";"DISTANCIA";"CANCELAMENTO";1
2002;2;"OURO PRETO";"CENTRO DE EDUCACAO ABERTA E A DISTANCIA";"LICENCIATURA EM EDUCACAO BASICA - ANOS INICIAIS-D01";"LICENCIATURA";"DISTANCIA";"OBITO";1
2002;2;"OURO PRETO";"ESCOLA DE FARMACIA";"FARMACIA-FAR";"BACHARELADO";"PRESENCIAL";"NRM";1
2003;1;"MARIANA";"INSTITUTO DE CIENCIAS HUMANAS E SOCIAIS";"HISTORIA-HIS";"";"PRESENCIAL";"DESLIGAMENTO";1
2003;1;"MARIANA";"INSTITUTO DE CIENCIAS HUMANAS E SOCIAIS";"HISTORIA-HIS";"";"PRESENCIAL";"NRM";1
2003;1;"MARIANA";"INSTITUTO DE CIENCIAS HUMANAS E SOCIAIS";"LETRAS-LET";"";"PRESENCIAL";"CANCELAMENTO";3
2003;1;"MARIANA";"INSTITUTO DE CIENCIAS HUMANAS E SOCIAIS";"LETRAS-LET";"";"PRESENCIAL";"TRANSFERENCIA";2
2003;1;"OURO PRETO";"CENTRO DE EDUCACAO ABERTA E A DISTANCIA";"LICENCIATURA EM EDUCACAO BASICA - ANOS INICIAIS-D01";"LICENCIATURA";"DISTANCIA";"DESLIGAMENTO";1
2003;1;"OURO PRETO";"CENTRO DE EDUCACAO ABERTA E A DISTANCIA";"LICENCIATURA EM EDUCACAO BASICA - ANOS INICIAIS-D01";"LICENCIATURA";"DISTANCIA";"NRM";67
2003;1;"OURO PRETO";"CENTRO DE EDUCACAO ABERTA E A DISTANCIA";"LICENCIATURA EM EDUCACAO BASICA - ANOS INICIAIS-D01";"LICENCIATURA";"DISTANCIA";"OBITO";1
2003;1;"OURO PRETO";"ESCOLA DE FARMACIA";"FARMACIA-FAR";"BACHARELADO";"PRESENCIAL";"CANCELAMENTO";2
2003;1;"OURO PRETO";"ESCOLA DE FARMACIA";"FARMACIA-FAR";"BACHARELADO";"PRESENCIAL";"TRANSFERENCIA";1
2003;1;"OURO PRETO";"ESCOLA DE MINAS";"ENGENHARIA AMBIENTAL-AMB";"BACHARELADO";"PRESENCIAL";"CANCELAMENTO";1
2003;1;"OURO PRETO";"ESCOLA DE MINAS";"ENGENHARIA CIVIL-CIV";"BACHARELADO";"PRESENCIAL";"TRANSFERENCIA";3
2003;1;"OURO PRETO";"ESCOLA DE MINAS";"ENGENHARIA DE CONTROLE E AUTOMACAO-AUT";"BACHARELADO";"PRESENCIAL";"CANCELAMENTO";1
2003;1;"OURO PRETO";"ESCOLA DE MINAS";"ENGENHARIA DE CONTROLE E AUTOMACAO-AUT";"BACHARELADO";"PRESENCIAL";"TRANSFERENCIA";1
2003;1;"OURO PRETO";"ESCOLA DE MINAS";"ENGENHARIA DE PRODUCAO-PRO";"BACHARELADO";"PRESENCIAL";"TRANSFERENCIA";1
2003;1;"OURO PRETO";"ESCOLA DE MINAS";"ENGENHARIA GEOLOGICA-GEO";"BACHARELADO";"PRESENCIAL";"TRANSFERENCIA";2
2003;1;"OURO PRETO";"ESCOLA DE MINAS";"ENGENHARIA METALURGICA-MET";"BACHARELADO";"PRESENCIAL";"TRANSFERENCIA";1
2003;1;"OURO PRETO";"ESCOLA DE NUTRICAO";"NUTRICAO-NUT";"BACHARELADO";"PRESENCIAL";"CANCELAMENTO";2
2003;1;"OURO PRETO";"INSTITUTO DE CIENCIAS EXATAS E BIOLOGICAS";"CIENCIA DA COMPUTACAO-COM";"BACHARELADO";"PRESENCIAL";"NRM";1
2003;1;"OURO PRETO";"INSTITUTO DE CIENCIAS EXATAS E BIOLOGICAS";"CIENCIAS BIOLOGICAS-CBI";"";"PRESENCIAL";"TRANSFERENCIA";1
2003;1;"OURO PRETO";"INSTITUTO DE CIENCIAS EXATAS E BIOLOGICAS";"FISICA-FIS";"";"PRESENCIAL";"TRANSFERENCIA";1
2003;1;"OURO PRETO";"INSTITUTO DE FILOSOFIA, ARTES E CULTURA";"ARTES CENICAS-ACE";"";"PRESENCIAL";"CANCELAMENTO";1
2003;1;"OURO PRETO";"INSTITUTO DE FILOSOFIA, ARTES E CULTURA";"ARTES CENICAS-ACE";"";"PRESENCIAL";"TRANSFERENCIA";1
2003;1;"OURO PRETO";"INSTITUTO DE FILOSOFIA, ARTES E CULTURA";"FILOSOFIA-FIL";"LICENCIATURA";"PRESENCIAL";"CANCELAMENTO";1
2003;1;"OURO PRETO";"INSTITUTO DE FILOSOFIA, ARTES E CULTURA";"FILOSOFIA-FIL";"LICENCIATURA";"PRESENCIAL";"TRANSFERENCIA";1
2003;2;"JOÃO MONLEVADE";"INSTITUTO DE CIENCIAS EXATAS E APLICADAS";"ENGENHARIA DE PRODUCAO-PJM";"BACHARELADO";"PRESENCIAL";"DESLIGAMENTO";1
2003;2;"MARIANA";"INSTITUTO DE CIENCIAS HUMANAS E SOCIAIS";"HISTORIA-HIS";"";"PRESENCIAL";"CANCELAMENTO";4
2003;2;"MARIANA";"INSTITUTO DE CIENCIAS HUMANAS E SOCIAIS";"HISTORIA-HIS";"";"PRESENCIAL";"DESLIGAMENTO";1
2003;2;"MARIANA";"INSTITUTO DE CIENCIAS HUMANAS E SOCIAIS";"HISTORIA-HIS";"";"PRESENCIAL";"NRM";6
2003;2;"MARIANA";"INSTITUTO DE CIENCIAS HUMANAS E SOCIAIS";"HISTORIA-HIS";"";"PRESENCIAL";"TRANSFERENCIA";1
2003;2;"MARIANA";"INSTITUTO DE CIENCIAS HUMANAS E SOCIAIS";"LETRAS-LET";"";"PRESENCIAL";"CANCELAMENTO";2
2003;2;"MARIANA";"INSTITUTO DE CIENCIAS HUMANAS E SOCIAIS";"LETRAS-LET";"";"PRESENCIAL";"DESLIGAMENTO";3
2003;2;"MARIANA";"INSTITUTO DE CIENCIAS HUMANAS E SOCIAIS";"LETRAS-LET";"";"PRESENCIAL";"NRM";14
2003;2;"MARIANA";"INSTITUTO DE CIENCIAS HUMANAS E SOCIAIS";"LETRAS-LET";"";"PRESENCIAL";"TRANSFERENCIA";1
2003;2;"OURO PRETO";"CENTRO DE EDUCACAO ABERTA E A DISTANCIA";"LICENCIATURA EM EDUCACAO BASICA - ANOS INICIAIS-D01";"LICENCIATURA";"DISTANCIA";"CANCELAMENTO";3
2003;2;"OURO PRETO";"CENTRO DE EDUCACAO ABERTA E A DISTANCIA";"LICENCIATURA EM EDUCACAO BASICA - ANOS INICIAIS-D01";"LICENCIATURA";"DISTANCIA";"DESLIGAMENTO";1
2003;2;"OURO PRETO";"CENTRO DE EDUCACAO ABERTA E A DISTANCIA";"LICENCIATURA EM EDUCACAO BASICA - ANOS INICIAIS-D01";"LICENCIATURA";"DISTANCIA";"NRM";43
2003;2;"OURO PRETO";"CENTRO DE EDUCACAO ABERTA E A DISTANCIA";"LICENCIATURA EM EDUCACAO BASICA - ANOS INICIAIS-D01";"LICENCIATURA";"DISTANCIA";"OBITO";1
2003;2;"OURO PRETO";"ESCOLA DE DIREITO, TURISMO E MUSEOLOGIA";"DIREITO-DIR";"BACHARELADO";"PRESENCIAL";"CANCELAMENTO";1
2003;2;"OURO PRETO";"ESCOLA DE DIREITO, TURISMO E MUSEOLOGIA";"DIREITO-DIR";"BACHARELADO";"PRESENCIAL";"DESLIGAMENTO";2
2003;2;"OURO PRETO";"ESCOLA DE DIREITO, TURISMO E MUSEOLOGIA";"DIREITO-DIR";"BACHARELADO";"PRESENCIAL";"NRM";6
2003;2;"OURO PRETO";"ESCOLA DE DIREITO, TURISMO E MUSEOLOGIA";"TURISMO-TUR";"BACHARELADO";"PRESENCIAL";"DESLIGAMENTO";1
2003;2;"OURO PRETO";"ESCOLA DE DIREITO, TURISMO E MUSEOLOGIA";"TURISMO-TUR";"BACHARELADO";"PRESENCIAL";"NRM";1
2003;2;"OURO PRETO";"ESCOLA DE FARMACIA";"FARMACIA-FAR";"BACHARELADO";"PRESENCIAL";"CANCELAMENTO";2
2003;2;"OURO PRETO";"ESCOLA DE FARMACIA";"FARMACIA-FAR";"BACHARELADO";"PRESENCIAL";"DESLIGAMENTO";5
2003;2;"OURO PRETO";"ESCOLA DE FARMACIA";"FARMACIA-FAR";"BACHARELADO";"PRESENCIAL";"TRANSFERENCIA";2
2003;2;"OURO PRETO";"ESCOLA DE MINAS";"ENGENHARIA AMBIENTAL-AMB";"BACHARELADO";"PRESENCIAL";"DESLIGAMENTO";1
2003;2;"OURO PRETO";"ESCOLA DE MINAS";"ENGENHARIA CIVIL-CIV";"BACHARELADO";"PRESENCIAL";"DESLIGAMENTO";4
2003;2;"OURO PRETO";"ESCOLA DE MINAS";"ENGENHARIA CIVIL-CIV";"BACHARELADO";"PRESENCIAL";"TRANSFERENCIA";3
2003;2;"OURO PRETO";"ESCOLA DE MINAS";"ENGENHARIA DE CONTROLE E AUTOMACAO-AUT";"BACHARELADO";"PRESENCIAL";"CANCELAMENTO";3
2003;2;"OURO PRETO";"ESCOLA DE MINAS";"ENGENHARIA DE CONTROLE E AUTOMACAO-AUT";"BACHARELADO";"PRESENCIAL";"DESLIGAMENTO";3
2003;2;"OURO PRETO";"ESCOLA DE MINAS";"ENGENHARIA DE CONTROLE E AUTOMACAO-AUT";"BACHARELADO";"PRESENCIAL";"TRANSFERENCIA";1
2003;2;"OURO PRETO";"ESCOLA DE MINAS";"ENGENHARIA DE MINAS-MIN";"BACHARELADO";"PRESENCIAL";"NRM";1
2003;2;"OURO PRETO";"ESCOLA DE MINAS";"ENGENHARIA DE PRODUCAO-PRO";"BACHARELADO";"PRESENCIAL";"DESLIGAMENTO";1
2003;2;"OURO PRETO";"ESCOLA DE MINAS";"ENGENHARIA DE PRODUCAO-PRO";"BACHARELADO";"PRESENCIAL";"TRANSFERENCIA";2
2003;2;"OURO PRETO";"ESCOLA DE MINAS";"ENGENHARIA GEOLOGICA-GEO";"BACHARELADO";"PRESENCIAL";"CANCELAMENTO";1
2003;2;"OURO PRETO";"ESCOLA DE MINAS";"ENGENHARIA GEOLOGICA-GEO";"BACHARELADO";"PRESENCIAL";"DESLIGAMENTO";5
2003;2;"OURO PRETO";"ESCOLA DE MINAS";"ENGENHARIA GEOLOGICA-GEO";"BACHARELADO";"PRESENCIAL";"NRM";1
2003;2;"OURO PRETO";"ESCOLA DE MINAS";"ENGENHARIA GEOLOGICA-GEO";"BACHARELADO";"PRESENCIAL";"TRANSFERENCIA";2
2003;2;"OURO PRETO";"ESCOLA DE MINAS";"ENGENHARIA METALURGICA-MET";"BACHARELADO";"PRESENCIAL";"CANCELAMENTO";2
2003;2;"OURO PRETO";"ESCOLA DE MINAS";"ENGENHARIA METALURGICA-MET";"BACHARELADO";"PRESENCIAL";"DESLIGAMENTO";1
2003;2;"OURO PRETO";"ESCOLA DE NUTRICAO";"NUTRICAO-NUT";"BACHARELADO";"PRESENCIAL";"CANCELAMENTO";2
2003;2;"OURO PRETO";"ESCOLA DE NUTRICAO";"NUTRICAO-NUT";"BACHARELADO";"PRESENCIAL";"DESLIGAMENTO";2
